Page,total_views,total_sessions,total_users,total_conversions,avg_drop_off,conversion_rate
Logan_(film)_en.wikipedia.org_mobile-web_all-agents,8484852,803,560,341,-inf,0.4246575342465753
Mark_Hamill_en.wikipedia.org_all-access_all-agents,8471645,803,554,803,-0.035961555237531515,1.0
Spotlight_(film)_en.wikipedia.org_all-access_all-agents,8440047,803,539,803,-0.034035374595964306,1.0
Tuberculosis_en.wikipedia.org_all-access_all-agents,8100160,803,545,802,-0.007649318166512681,0.9987546699875467
Amy_Adams_en.wikipedia.org_all-access_all-agents,7699794,803,546,802,-0.03551806733090025,0.9987546699875467
Anton_Yelchin_en.wikipedia.org_all-access_all-agents,7670019,803,537,803,-0.49798426373431337,1.0
Virat_Kohli_en.wikipedia.org_mobile-web_all-agents,7596634,803,562,803,-0.1047103960765553,1.0
Chicago_en.wikipedia.org_all-access_all-agents,7376392,803,567,803,-0.010134291233974788,1.0
Harry_Styles_en.wikipedia.org_all-access_all-agents,7291749,803,557,803,-0.03183929442735846,1.0
Courteney_Cox_en.wikipedia.org_all-access_all-agents,7282770,803,532,803,-0.015001772526932133,1.0
Ae_Dil_Hai_Mushkil_en.wikipedia.org_all-access_all-agents,7091423,803,564,799,-0.025940419447807544,0.9950186799501868
Kristen_Bell_en.wikipedia.org_all-access_all-agents,6980772,803,540,802,-0.03394676625003796,0.9987546699875467
Area_51_en.wikipedia.org_all-access_all-agents,6805325,803,554,802,-0.009042733136562831,0.9987546699875467
North_Korea_en.wikipedia.org_desktop_all-agents,6754052,803,550,803,-0.25380553473356804,1.0
Kingsman:_The_Secret_Service_en.wikipedia.org_all-access_all-agents,6551702,803,555,803,-0.056299726789281225,1.0
John_Krasinski_en.wikipedia.org_all-access_all-agents,6492086,803,554,802,-0.02046108581697874,0.9987546699875467
Spécial:Pages_liées_fr.wikipedia.org_all-access_all-agents,6176854,803,547,801,-1.5055936472254705,0.9975093399750934
Jenna_Dewan_en.wikipedia.org_all-access_all-agents,6009703,803,546,803,-0.06673262444356926,1.0
Jane_the_Virgin_en.wikipedia.org_all-access_all-agents,5974871,803,553,802,-0.019793348496803743,0.9987546699875467
Andrew_Garfield_en.wikipedia.org_all-access_all-agents,5899541,803,554,803,-0.03774542841710845,1.0
Katherine_Heigl_en.wikipedia.org_all-access_all-agents,5866522,803,560,803,-0.04353747585203848,1.0
Tom_Hardy_en.wikipedia.org_desktop_all-agents,5700304,803,549,803,-0.02144190104143443,1.0
Helena_Bonham_Carter_en.wikipedia.org_all-access_all-agents,5678360,803,543,803,-0.019360756232823732,1.0
Pharrell_Williams_en.wikipedia.org_all-access_all-agents,5429526,803,569,802,-0.08126626918519146,0.9987546699875467
Iceland_en.wikipedia.org_desktop_all-agents,5322762,803,552,803,-0.07984544624632595,1.0
The_Girl_on_the_Train_(novel)_en.wikipedia.org_all-access_all-agents,5264386,803,548,803,-0.06490446709722654,1.0
War_Dogs_(2016_film)_en.wikipedia.org_all-access_all-agents,5177512,803,542,554,-inf,0.6899128268991283
Supreme_Court_of_the_United_States_en.wikipedia.org_all-access_all-agents,5018415,803,550,802,-0.07849102663092755,0.9987546699875467
Whoopi_Goldberg_en.wikipedia.org_all-access_all-agents,4890769,803,555,802,-0.06274796755243345,0.9987546699875467
Sanam_Teri_Kasam_(2016_film)_en.wikipedia.org_all-access_all-agents,4880616,803,538,643,-inf,0.800747198007472
Motörhead_en.wikipedia.org_desktop_all-agents,4747758,803,555,803,-0.251595056418736,1.0
Elizabeth_Taylor_en.wikipedia.org_mobile-web_all-agents,4711130,803,563,803,-0.05885050803444295,1.0
Nikola_Tesla_en.wikipedia.org_desktop_all-agents,4694420,803,556,803,-0.07558095808062615,1.0
RSS_en.wikipedia.org_all-access_spider,4657432,803,556,803,-0.07015747659670743,1.0
Alexander_Skarsgård_en.wikipedia.org_mobile-web_all-agents,4570955,803,541,803,-0.04233258391379633,1.0
Hugh_Grant_en.wikipedia.org_all-access_all-agents,4513851,803,541,802,-0.0526856950405458,0.9987546699875467
Kosovo_en.wikipedia.org_all-access_all-agents,4450902,803,566,803,-0.01635432635835756,1.0
Daniel_Bryan_en.wikipedia.org_all-access_all-agents,4424797,803,560,802,-0.04051847945497274,0.9987546699875467
Teen_Wolf_(season_5)_en.wikipedia.org_all-access_all-agents,4389389,803,566,802,-0.01944287602495246,0.9987546699875467
Tecnología_es.wikipedia.org_desktop_all-agents,4380121,803,551,803,-0.07891387037466342,1.0
Annabelle_(film)_en.wikipedia.org_all-access_all-agents,4257941,803,547,803,-0.04319987670349658,1.0
Президентские_выборы_в_США_(2016)_ru.wikipedia.org_all-access_all-agents,4120473,803,553,803,-0.053746173483924395,1.0
Doctor_Who_en.wikipedia.org_mobile-web_all-agents,4087257,803,568,803,-0.029390204838206386,1.0
Jai_Courtney_en.wikipedia.org_all-access_all-agents,4086341,803,560,802,-0.03206666478922352,0.9987546699875467
Warren_Buffett_en.wikipedia.org_desktop_all-agents,3984801,803,559,803,-0.04460310145918919,1.0
Thomas_Jefferson_en.wikipedia.org_mobile-web_all-agents,3849515,803,550,803,-0.016920322958675033,1.0
Colin_Kaepernick_en.wikipedia.org_mobile-web_all-agents,3779514,803,549,803,-0.23245030780911038,1.0
Hillsborough_disaster_en.wikipedia.org_all-access_all-agents,3703179,803,551,802,-0.1921458445366998,0.9987546699875467
Rami_Malek_en.wikipedia.org_mobile-web_all-agents,3672890,803,545,803,-0.06523606467364246,1.0
ショーンK_ja.wikipedia.org_all-access_all-agents,3668507,803,553,803,-0.988219757524631,1.0
Pretty_Little_Liars_(season_7)_en.wikipedia.org_mobile-web_all-agents,3606005,803,543,607,-inf,0.7559153175591532
NATO_en.wikipedia.org_mobile-web_all-agents,3593558,803,548,803,-0.05277557456190924,1.0
Ecuador_en.wikipedia.org_all-access_all-agents,3593144,803,541,803,-0.048219783166424494,1.0
Agile_software_development_en.wikipedia.org_desktop_all-agents,3556492,803,536,803,-0.10714310408453553,1.0
Benito_Juárez_es.wikipedia.org_all-access_all-agents,3545447,803,566,803,-0.09263731984694425,1.0
World_population_en.wikipedia.org_desktop_all-agents,3478297,803,553,803,-0.020475503194766535,1.0
List_of_The_100_episodes_en.wikipedia.org_desktop_all-agents,3372918,803,554,803,-0.02025536550879046,1.0
Kehlani_en.wikipedia.org_all-access_all-agents,3202254,803,555,773,-inf,0.962640099626401
Croatia_en.wikipedia.org_desktop_all-agents,3172755,803,555,803,-0.022488647595861323,1.0
Eurocopa_2016_es.wikipedia.org_all-access_all-agents,3158322,803,556,803,-0.04074658258715589,1.0
Pearl_Jam_en.wikipedia.org_all-access_all-agents,3152801,803,569,803,-0.09261318491044077,1.0
Jesse_Williams_(actor)_en.wikipedia.org_all-access_all-agents,3132217,803,551,803,-0.21722668234320672,1.0
LP_(singer)_en.wikipedia.org_all-access_all-agents,3116271,803,549,803,-0.02897985090994248,1.0
Atlanta_(TV_series)_en.wikipedia.org_all-access_all-agents,3094623,803,552,596,-inf,0.7422166874221668
関ジャニ∞_ja.wikipedia.org_mobile-web_all-agents,3051772,803,542,803,-0.07854764621214536,1.0
Shirley_MacLaine_en.wikipedia.org_all-access_all-agents,3042595,803,545,803,-0.10281287516622364,1.0
David_Bowie_es.wikipedia.org_all-access_all-agents,2963949,803,560,803,-0.3110717899996807,1.0
"United_Kingdom_European_Union_membership_referendum,_2016_en.wikipedia.org_all-access_all-agents",2933042,803,546,568,-inf,0.7073474470734745
WhatsApp_en.wikipedia.org_desktop_all-agents,2919219,803,566,803,-0.019156449622960932,1.0
Atletismo_es.wikipedia.org_desktop_all-agents,2866391,803,558,803,-0.047023354717664195,1.0
Monica_Lewinsky_en.wikipedia.org_desktop_all-agents,2828721,803,549,803,-0.0729921462770109,1.0
Rosie_Huntington-Whiteley_en.wikipedia.org_mobile-web_all-agents,2804100,803,564,803,-0.04704132330786714,1.0
Christopher_Walken_en.wikipedia.org_mobile-web_all-agents,2765819,803,560,803,-0.05489574163620787,1.0
Orange_Is_the_New_Black_fr.wikipedia.org_all-access_all-agents,2747319,803,531,803,-0.022072588378577094,1.0
Bill_Paxton_en.wikipedia.org_desktop_all-agents,2671445,803,556,803,-0.9604223027600923,1.0
Anthony_Joshua_en.wikipedia.org_desktop_all-agents,2633982,803,554,803,-0.05577426023864802,1.0
Croatia_en.wikipedia.org_mobile-web_all-agents,2633834,803,545,803,-0.02499206865855683,1.0
Sigourney_Weaver_en.wikipedia.org_mobile-web_all-agents,2598913,803,538,803,-0.07357464375119674,1.0
Seth_Curry_en.wikipedia.org_mobile-web_all-agents,2584432,803,566,803,-0.19943886884475356,1.0
Bill_Belichick_en.wikipedia.org_mobile-web_all-agents,2582068,803,547,803,-0.20401792755009393,1.0
Carlos_I_de_España_es.wikipedia.org_mobile-web_all-agents,2581287,803,560,803,-0.16873780395975047,1.0
Canis_lupus_familiaris_es.wikipedia.org_all-access_all-agents,2537506,803,556,803,-0.020312092236271985,1.0
Tori_Kelly_en.wikipedia.org_mobile-web_all-agents,2530660,803,553,803,-0.21982904603072373,1.0
Wikipedia:Auskunft_de.wikipedia.org_all-access_all-agents,2514829,803,532,803,-0.043596855486023635,1.0
BABYMETAL_ja.wikipedia.org_mobile-web_all-agents,2510048,803,544,803,-0.08735950113575286,1.0
Köln_de.wikipedia.org_all-access_all-agents,2509181,803,561,803,-0.008907558523679259,1.0
Sherlock_(Fernsehserie)_de.wikipedia.org_all-access_all-agents,2490435,803,559,803,-0.05366271554921563,1.0
Filosofía_es.wikipedia.org_desktop_all-agents,2490143,803,542,803,-0.06918468884915129,1.0
Trump_Tower_(New_York_City)_en.wikipedia.org_all-access_all-agents,2473987,803,566,802,-0.04615095175212942,0.9987546699875467
Steve_Wozniak_en.wikipedia.org_mobile-web_all-agents,2467680,803,550,803,-0.06236192603076301,1.0
List_of_Pirates_of_the_Caribbean_characters_en.wikipedia.org_all-access_all-agents,2447304,803,560,803,-0.06551750541680992,1.0
"Макгрегор,_Конор_ru.wikipedia.org_mobile-web_all-agents",2414456,803,560,782,-inf,0.9738480697384807
Sarah_Paulson_en.wikipedia.org_desktop_all-agents,2405562,803,555,803,-0.07303968944770435,1.0
The_Flash_(serie_de_televisión_de_2014)_es.wikipedia.org_all-access_all-agents,2390111,803,551,803,-0.032576087912941164,1.0
Manuel_Belgrano_es.wikipedia.org_all-access_all-agents,2384381,803,560,803,-0.06887699299762842,1.0
Michael_Jackson_fr.wikipedia.org_all-access_all-agents,2374754,803,542,803,-0.027362639896602477,1.0
Inferno_(2016_film)_en.wikipedia.org_desktop_all-agents,2333857,803,547,803,-0.018909370756770908,1.0
志尊淳_ja.wikipedia.org_mobile-web_all-agents,2322697,803,556,803,-0.4298074678901568,1.0
Vincent_van_Gogh_es.wikipedia.org_all-access_all-agents,2304427,803,559,803,-0.025902469251254487,1.0
ハリー・ポッターシリーズの魔法一覧_ja.wikipedia.org_all-access_all-agents,2260703,803,560,803,-0.03232957597549468,1.0
Damian_Lewis_en.wikipedia.org_mobile-web_all-agents,2254758,803,559,803,-0.03771642143733105,1.0
Jayalalithaa_en.wikipedia.org_desktop_all-agents,2249065,803,544,803,-0.1428169571772091,1.0
Patty_Duke_en.wikipedia.org_mobile-web_all-agents,2237025,803,556,803,-0.49979177088692645,1.0
Jodie_Foster_en.wikipedia.org_desktop_all-agents,2235603,803,555,803,-0.042269394650821863,1.0
Victoria_Justice_en.wikipedia.org_mobile-web_all-agents,2228510,803,568,803,-0.03525255645446801,1.0
Enrique_VIII_de_Inglaterra_es.wikipedia.org_all-access_all-agents,2216287,803,570,803,-0.03166260225205253,1.0
Second_Amendment_to_the_United_States_Constitution_en.wikipedia.org_mobile-web_all-agents,2200516,803,550,803,-0.07984389195279326,1.0
Countries_of_the_United_Kingdom_en.wikipedia.org_all-access_all-agents,2178387,803,543,803,-0.017124294987421018,1.0
Katana_(comics)_en.wikipedia.org_all-access_all-agents,2169370,803,557,803,-0.040300754542289506,1.0
Escuadrón_Suicida_(película)_es.wikipedia.org_mobile-web_all-agents,2120859,803,557,532,-inf,0.6625155666251556
Accidente_de_Chernóbil_es.wikipedia.org_mobile-web_all-agents,2120460,803,547,803,-0.044823327706516036,1.0
Labor_Day_en.wikipedia.org_mobile-web_all-agents,2118819,803,555,803,-0.03653810785589343,1.0
西島秀俊_ja.wikipedia.org_all-access_all-agents,2115840,803,544,803,-0.0905335554284991,1.0
Hell_in_a_Cell_(2016)_en.wikipedia.org_all-access_all-agents,2112551,803,535,444,-inf,0.5529265255292652
Simon_Cowell_en.wikipedia.org_desktop_all-agents,2097316,803,550,803,-0.01667381278036357,1.0
Frankreich_de.wikipedia.org_desktop_all-agents,2095673,803,558,803,-0.036204622413737245,1.0
Cinderella_and_Four_Knights_en.wikipedia.org_all-access_all-agents,2067629,803,542,580,-inf,0.7222914072229141
John_Wick:_Chapter_2_en.wikipedia.org_desktop_all-agents,2063903,803,532,337,-inf,0.41967621419676215
Украина_ru.wikipedia.org_mobile-web_all-agents,2060786,803,569,803,-0.006657310103229201,1.0
A_que_no_me_dejas_es.wikipedia.org_all-access_all-agents,2054104,803,550,797,-inf,0.9925280199252802
バラク・オバマ_ja.wikipedia.org_all-access_all-agents,2035385,803,558,803,-0.056852037707136996,1.0
Eva_Mendes_en.wikipedia.org_desktop_all-agents,2011909,803,551,803,-0.05842523367451177,1.0
水瀬いのり_ja.wikipedia.org_mobile-web_all-agents,2006671,803,556,803,-0.07590078272699402,1.0
List_of_Suicide_Squad_members_en.wikipedia.org_all-access_all-agents,1937794,803,538,802,-0.03790385411432408,0.9987546699875467
Lupus_erythematodes_de.wikipedia.org_all-access_all-agents,1911020,803,564,803,-0.10356943130806306,1.0
ももいろクローバーZ_ja.wikipedia.org_mobile-web_all-agents,1909775,803,540,803,-0.09341133808942416,1.0
Carlos_Lehder_en.wikipedia.org_mobile-web_all-agents,1907010,803,556,803,-0.05656735308327398,1.0
Deutsche_Nationalhymne_de.wikipedia.org_all-access_all-agents,1903073,803,547,803,-0.1395418554497537,1.0
植劇場_zh.wikipedia.org_desktop_all-agents,1902280,803,546,457,-inf,0.5691158156911582
List_of_countries_by_English-speaking_population_en.wikipedia.org_all-access_all-agents,1897591,803,550,803,-0.13229198283431212,1.0
うたわれるもの_ja.wikipedia.org_all-access_all-agents,1887931,803,542,803,-0.03337436042891308,1.0
Historia_del_fútbol_es.wikipedia.org_desktop_all-agents,1887409,803,545,801,-0.05526572272439422,0.9975093399750934
Carrie_Fisher_es.wikipedia.org_all-access_all-agents,1859531,803,573,803,-0.1062832014856833,1.0
Proteína_es.wikipedia.org_mobile-web_all-agents,1856845,803,567,803,-0.03948931813265699,1.0
Peaky_Blinders_en.wikipedia.org_mobile-web_all-agents,1851731,803,560,803,-0.01779611332999066,1.0
"Познер,_Владимир_Владимирович_ru.wikipedia.org_all-access_all-agents",1843772,803,565,803,-0.13029627364070948,1.0
Glúcido_es.wikipedia.org_all-access_all-agents,1841231,803,555,803,-0.04237519814505169,1.0
Ácido_acetilsalicílico_es.wikipedia.org_all-access_all-agents,1809534,803,556,803,-0.013071143197085787,1.0
郭文贵_zh.wikipedia.org_all-access_all-agents,1808586,803,548,336,-0.18478267043440577,0.41843088418430885
Война_и_мир_ru.wikipedia.org_all-access_all-agents,1805439,803,551,803,-0.03360640582092927,1.0
Gianluigi_Buffon_es.wikipedia.org_all-access_all-agents,1802645,803,542,803,-0.2684663824587093,1.0
LP_(певица)_ru.wikipedia.org_all-access_all-agents,1802395,803,555,399,-inf,0.49688667496886674
天照大神_ja.wikipedia.org_all-access_all-agents,1789587,803,545,803,-0.02625017136533904,1.0
真田十勇士_ja.wikipedia.org_mobile-web_all-agents,1780008,803,567,803,-0.1203822604515481,1.0
Maya_Angelou_en.wikipedia.org_mobile-web_all-agents,1764851,803,553,803,-0.053768719902256554,1.0
Microsoft_PowerPoint_es.wikipedia.org_desktop_all-agents,1764576,803,560,801,-0.08387181040302656,0.9975093399750934
Justin_Bieber_de.wikipedia.org_all-access_all-agents,1743657,803,547,803,-0.0269667411769014,1.0
Metallica_es.wikipedia.org_all-access_all-agents,1740698,803,573,803,-0.014127508083289312,1.0
クンニリングス_ja.wikipedia.org_all-access_all-agents,1740611,803,559,803,-0.007865159008989204,1.0
Voter_turnout_in_the_United_States_presidential_elections_en.wikipedia.org_all-access_all-agents,1700735,803,562,802,-0.03854288095211678,0.9987546699875467
BUMP_OF_CHICKEN_ja.wikipedia.org_mobile-web_all-agents,1687025,803,554,803,-0.046726229344023644,1.0
Máximo_común_divisor_es.wikipedia.org_all-access_all-agents,1679811,803,550,803,-0.0662187178578532,1.0
Bill_Russell_en.wikipedia.org_mobile-web_all-agents,1679245,803,555,803,-0.09866398788803929,1.0
中村アン_ja.wikipedia.org_all-access_all-agents,1669455,803,552,803,-0.18261013873599966,1.0
"United_States_presidential_election,_1972_en.wikipedia.org_desktop_all-agents",1666888,803,548,803,-0.022988677697977432,1.0
Daisy_Lowe_en.wikipedia.org_mobile-web_all-agents,1665049,803,538,803,-0.40032070432038025,1.0
Fate/kaleid_liner_プリズマ☆イリヤ_ja.wikipedia.org_all-access_all-agents,1664091,803,554,803,-0.03659579804369072,1.0
Tuberkulose_de.wikipedia.org_mobile-web_all-agents,1651762,803,550,803,-0.12998801995456377,1.0
Кухня_(телесериал)_ru.wikipedia.org_mobile-web_all-agents,1650394,803,551,803,-0.027465004382677318,1.0
Down-Syndrom_de.wikipedia.org_all-access_all-agents,1643385,803,544,803,-0.029677160493779917,1.0
List_of_countries_by_cement_production_en.wikipedia.org_desktop_all-agents,1635848,803,549,489,-0.2073586120794758,0.6089663760896638
Facebook_ru.wikipedia.org_desktop_all-agents,1635275,803,526,803,-0.02112488470465715,1.0
Schizophrénie_fr.wikipedia.org_all-access_all-agents,1633159,803,554,803,-0.010321387947421146,1.0
List_of_Presidents_of_the_United_States_by_age_en.wikipedia.org_mobile-web_all-agents,1626360,803,567,803,-0.05621397144803047,1.0
Hoda_Kotb_en.wikipedia.org_mobile-web_all-agents,1621145,803,562,803,-0.39006602951979985,1.0
Scarlett_Johansson_fr.wikipedia.org_all-access_all-agents,1612226,803,555,803,-0.06453495845104208,1.0
Arielle_Dombasle_fr.wikipedia.org_all-access_all-agents,1593268,803,565,803,-0.444575559435104,1.0
New_York_City_de.wikipedia.org_desktop_all-agents,1590883,803,542,803,-0.03203106773909806,1.0
David_Ortiz_en.wikipedia.org_mobile-web_all-agents,1587651,803,574,803,-0.13615702836137156,1.0
2010_Copiapó_mining_accident_en.wikipedia.org_mobile-web_all-agents,1585340,803,554,803,-0.15787757343884454,1.0
"Цветаева,_Марина_Ивановна_ru.wikipedia.org_all-access_all-agents",1581365,803,543,803,-0.04378503834026906,1.0
Queen_es.wikipedia.org_all-access_all-agents,1568981,803,563,803,-0.015288834104322751,1.0
ばらかもん_ja.wikipedia.org_all-access_all-agents,1563272,803,568,803,-0.03399466582240535,1.0
境界のRINNE_ja.wikipedia.org_all-access_all-agents,1553040,803,561,803,-0.21218102456164234,1.0
Ashton_Eaton_en.wikipedia.org_all-access_all-agents,1542115,803,558,803,-0.09592539249631313,1.0
向井理_ja.wikipedia.org_mobile-web_all-agents,1540587,803,550,803,-0.196379037000263,1.0
Grönland_de.wikipedia.org_all-access_all-agents,1540066,803,546,803,-0.05515437368448798,1.0
Benito_Juárez_es.wikipedia.org_desktop_all-agents,1535108,803,568,803,-0.1728081318648289,1.0
User:Grialte_commons.wikimedia.org_desktop_all-agents,1528828,803,568,102,-inf,0.12702366127023662
Ciencias_sociales_es.wikipedia.org_desktop_all-agents,1524327,803,541,803,-0.046306049059193985,1.0
Evan_McMullin_en.wikipedia.org_all-access_all-agents,1517337,803,561,399,-inf,0.49688667496886674
House_of_Cards_(Fernsehserie)_de.wikipedia.org_mobile-web_all-agents,1509374,803,559,803,-0.02670622035559889,1.0
Barack_Obama_es.wikipedia.org_desktop_all-agents,1500418,803,557,803,-0.04355192879185451,1.0
Homo_sapiens_es.wikipedia.org_mobile-web_all-agents,1497375,803,537,803,-0.017023475008917894,1.0
Tim_Burton_es.wikipedia.org_all-access_all-agents,1495738,803,570,803,-0.030428486073031412,1.0
Romy_Schneider_de.wikipedia.org_all-access_all-agents,1489671,803,542,803,-0.3192598922813013,1.0
NARUTO_-ナルト-の登場人物_ja.wikipedia.org_desktop_all-agents,1470492,803,546,803,-0.0191128022402391,1.0
Марокко_ru.wikipedia.org_all-access_all-agents,1467456,803,540,803,-0.010475072284971439,1.0
BIGBANG_zh.wikipedia.org_desktop_all-agents,1461577,803,547,803,-0.01563417387702006,1.0
Meiosis_es.wikipedia.org_desktop_all-agents,1438845,803,545,799,-0.08829312395608897,0.9950186799501868
渡部建_ja.wikipedia.org_all-access_all-agents,1413070,803,546,803,-0.38880265995085905,1.0
Fiesta_de_San_Juan_es.wikipedia.org_all-access_all-agents,1403633,803,565,803,-0.03229465987046711,1.0
Première_Guerre_mondiale_fr.wikipedia.org_desktop_all-agents,1402847,803,555,803,-0.02850808335484837,1.0
范冰冰_zh.wikipedia.org_all-access_all-agents,1400010,803,557,803,-0.028948523710033734,1.0
Simone_Veil_fr.wikipedia.org_mobile-web_all-agents,1397035,803,579,803,-1.1131728026108219,1.0
松岡茉優_ja.wikipedia.org_desktop_all-agents,1386909,803,562,803,-0.15397845019236886,1.0
Especial:Registro_es.wikipedia.org_all-access_spider,1385276,803,540,322,-0.7483547425332928,0.40099626400996263
Пермь_ru.wikipedia.org_all-access_all-agents,1384351,803,556,803,-0.018058141475223603,1.0
Ronald_Reagan_es.wikipedia.org_all-access_all-agents,1379352,803,561,803,-0.04129358084446242,1.0
高橋健一_(お笑い芸人)_ja.wikipedia.org_mobile-web_all-agents,1364073,803,550,783,-5.713082248661065,0.975093399750934
Robert_Shapiro_(lawyer)_en.wikipedia.org_desktop_all-agents,1355821,803,545,803,-0.04678290945792269,1.0
Венгрия_ru.wikipedia.org_all-access_all-agents,1355796,803,563,803,-0.020480975830216075,1.0
Apartheid_es.wikipedia.org_all-access_all-agents,1346159,803,527,803,-0.057395651630796914,1.0
Union_européenne_fr.wikipedia.org_desktop_all-agents,1331798,803,561,803,-0.055695528448342836,1.0
Funciones_del_lenguaje_es.wikipedia.org_desktop_all-agents,1321046,803,534,798,-0.07724963078066696,0.9937733499377335
Re:Zero_-Starting_Life_in_Another_World-_en.wikipedia.org_all-access_all-agents,1315804,803,551,212,-inf,0.2640099626400996
Windows_10_ru.wikipedia.org_desktop_all-agents,1314045,803,556,803,-0.006027745654681315,1.0
Tom_Hardy_fr.wikipedia.org_all-access_all-agents,1311636,803,556,803,-0.049101345833362356,1.0
Alexis_Ohanian_en.wikipedia.org_desktop_all-agents,1310382,803,547,803,-1.0213341335248367,1.0
Andrew_Garfield_es.wikipedia.org_all-access_all-agents,1308705,803,548,803,-0.07947173057172806,1.0
Bradley_Cooper_de.wikipedia.org_all-access_all-agents,1308353,803,556,803,-0.14560204750502248,1.0
"File:Syrian,_Iraqi,_and_Lebanese_insurgencies.png_commons.wikimedia.org_all-access_all-agents",1304822,803,563,803,-0.02339683520271287,1.0
Bowling_Green_massacre_en.wikipedia.org_all-access_all-agents,1303553,803,554,220,-inf,0.273972602739726
The_Gambia_en.wikipedia.org_desktop_all-agents,1302163,803,548,803,-0.04822151232856601,1.0
林俊杰_zh.wikipedia.org_all-access_all-agents,1302011,803,551,803,-0.03436878915554797,1.0
People_for_the_Ethical_Treatment_of_Animals_en.wikipedia.org_all-access_all-agents,1292200,803,539,803,-0.012943107327641819,1.0
Modelo_atómico_de_Thomson_es.wikipedia.org_desktop_all-agents,1288126,803,546,792,-0.05929335040830794,0.9863013698630136
Мужской_половой_член_ru.wikipedia.org_all-access_all-agents,1287484,803,550,803,-0.0036700303156874067,1.0
Signos_musicales_es.wikipedia.org_all-access_all-agents,1286501,803,533,803,-0.24331652672968923,1.0
Pokémon_fr.wikipedia.org_all-access_all-agents,1273173,803,540,803,-0.02251824707995165,1.0
List_of_Justice_League_members_en.wikipedia.org_mobile-web_all-agents,1270303,803,565,803,-0.021136026896577002,1.0
Edad_Moderna_es.wikipedia.org_desktop_all-agents,1261212,803,564,803,-0.042582134982930064,1.0
De_Morgan's_laws_en.wikipedia.org_all-access_all-agents,1257970,803,561,803,-0.40985130753430576,1.0
Gripe_es.wikipedia.org_all-access_all-agents,1256476,803,530,803,-0.03004879625481683,1.0
Chris_Hemsworth_de.wikipedia.org_all-access_all-agents,1255482,803,564,803,-0.11098005753393303,1.0
Энтропия_ru.wikipedia.org_all-access_all-agents,1232544,803,557,803,-0.016248067013386894,1.0
Quantum_Break_en.wikipedia.org_desktop_all-agents,1231339,803,568,803,-0.04578461939208813,1.0
The_End_(novel)_en.wikipedia.org_all-access_all-agents,1230694,803,561,803,-0.11070264574400242,1.0
花ざかりの君たちへ_(テレビドラマ)_ja.wikipedia.org_all-access_all-agents,1223464,803,546,803,-0.02661008772190249,1.0
Hebreos_es.wikipedia.org_all-access_all-agents,1222816,803,560,803,-0.053827522611433615,1.0
朴ロ美_ja.wikipedia.org_all-access_all-agents,1219444,803,569,803,-0.041767173761514204,1.0
"Уайнхаус,_Эми_ru.wikipedia.org_all-access_all-agents",1210934,803,546,803,-0.057218752749312755,1.0
Kristen_Stewart_es.wikipedia.org_mobile-web_all-agents,1201191,803,554,803,-0.06806695232662648,1.0
キン肉マン_ja.wikipedia.org_all-access_all-agents,1193359,803,559,803,-0.026183144284654375,1.0
"Чадов,_Алексей_Александрович_ru.wikipedia.org_all-access_all-agents",1193027,803,553,803,-0.03960159246091881,1.0
Английский_язык_ru.wikipedia.org_mobile-web_all-agents,1189258,803,553,803,-0.004825318830728474,1.0
